model,label,term,estimate,se,ci_lo,ci_hi,t,z,within_tree_var,between_tree_var,N,n_spp,n_src,n_site,n_ind,sample,fixed,random,n_trees,converged,converged_default_start,n_retried,n_retry_accepted,secs,secs_retry,phylo_prop,species_level_prop,n_phylo_mode,n_iid_mode,year_term,mm_per_decade,mm_per_decade_lo,mm_per_decade_hi,pct_per_decade
M3,M3 = M2 + season + moult + (1|individual),scaled_yr,-0.37085148873535,0.207376163739745,-0.777308769665249,0.0356057921945498,-1.78830335197427,-1.78830335197427,0.0430047050688307,1.64920179076927e-07,8478,72,42,130,7791,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,176.369336843491,0.00629591941833496,0.941624440213699,0.941624477924675,50,0,TRUE,-0.738759006350486,-1.54844694371772,0.0709289310167469,-1.03861432450588
M4,M4 = M3 with (1 + scaled_yr || contributor),scaled_yr,-0.875366599483311,0.45016966320308,-1.75769913936135,0.00696594039472576,-1.94452596662076,-1.94452596662076,0.202652588064619,1.34905642362087e-07,8478,72,42,130,7791,w_all,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 + scaled_yr || src) + (1 | site) + (1 | ind),50,50,50,0,0,201.280938148499,0.00580716133117676,0.945701648715705,0.945701689539723,50,0,TRUE,-1.74378418010933,-3.50144494251809,0.0138765822994357,-2.45156974431395
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_site_mean,-0.274653440179344,0.249475953412244,-0.763626308867343,0.214319428508654,-1.10092149733364,-1.10092149733364,0.0622381978004201,5.24809099144179e-08,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,203.238463878632,0.00626993179321289,0.928761551700614,0.928761593516478,50,0,TRUE,-0.547126568777057,-1.52119063910381,0.426937501549702,-0.769200086584135
M5,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_within_site,-0.737800932685839,0.483090971350002,-1.68465923653184,0.209057371160165,-1.52725051065237,-1.52725051065237,0.233376708369248,1.74735922221166e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,203.238463878632,0.00626993179321289,0.928761551700614,0.928761593516478,50,0,TRUE,-1.4697448991621,-3.35594495754495,0.41645515922074,-2.0663005019461
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_site_mean,-0.204493186390292,0.295384772544492,-0.783447340577497,0.374460967796913,-0.692294273089146,-0.692294273089146,0.0872519415636239,2.1792895838489e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,218.666104078293,0.00615096092224121,0.941346291284238,0.941346334281666,50,0,TRUE,-0.40736302205044,-1.56067535505027,0.745949310949388,-0.572707833459382
M5_rsTotal,M5 with the species random slope on total scaled_yr,yr_within_site,-0.402207654888829,0.211182691492374,-0.816125730213882,0.0117104204362247,-1.9045483891058,-1.9045483891058,0.0445979608515548,1.65033733778581e-07,8478,72,42,130,7791,w_all,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,218.666104078293,0.00615096092224121,0.941346291284238,0.941346334281666,50,0,TRUE,-0.80122242055842,-1.62577271987206,0.0233278787552219,-1.12643104984693
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_src_mean,-1.28980551704832,0.577164959106131,-2.42104883689634,-0.158562197200305,-2.23472595953482,-2.23472595953482,0.333119222795784,1.63945292759723e-07,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,217.170140028,0.00590705871582031,0.941939135729267,0.941939178271965,50,0,TRUE,-2.5693720292437,-4.8228783957988,-0.315865662688606,-3.61225592056094
M5src,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_within_src,-0.158502356205994,0.326329507043279,-0.798108190010819,0.481103477598832,-0.4857126088355,-0.4857126088355,0.106490857422344,8.7985063498583e-08,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,217.170140028,0.00590705871582031,0.941939135729267,0.941939178271965,50,0,TRUE,-0.315746455742323,-1.589880670085,0.958387758600355,-0.443904966338044
M5src_rsTotal,M5src with the species random slope on total scaled_yr,yr_src_mean,-1.13031657117261,0.652534058321734,-2.40928332548321,0.148650183137983,-1.73219551800821,-1.73219551800821,0.42580043128513,2.60769315220204e-07,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,199.133287191391,0.00399899482727051,0.942285769172424,0.942285812444677,50,0,TRUE,-2.25166022611513,-4.79944077242453,0.296120320194272,-3.16558789085521
M5src_rsTotal,M5src with the species random slope on total scaled_yr,yr_within_src,-0.345082855116304,0.208050042011305,-0.752860937458462,0.0626952272258543,-1.65865313835194,-1.65865313835194,0.0432846498705872,1.66774822200284e-07,8478,72,42,130,7791,w_all,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,199.133287191391,0.00399899482727051,0.942285769172424,0.942285812444677,50,0,TRUE,-0.687426301087973,-1.49974535621675,0.124892754040804,-0.966446157968511
M7,M7 = M3 on first (wing) captures only; no ring term (one record per individual),scaled_yr,-0.379284635998272,0.20619609990081,-0.78342899180386,0.0248597198073164,-1.839436517862,-1.839436517862,0.0425166982684491,1.30731231131646e-07,7791,72,42,130,,w_first,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,48,2,2,50.7190268039703,1.50221586227417,0.943311529299003,0.943311562932673,50,0,TRUE,-0.755558355096824,-1.56063880316308,0.0495220929694329,-1.06223237058089
M3_longrun,"M3 on the 6 long-running contributors (>= 8 yr, >= 200 wing records)",scaled_yr,0.0948905578953225,0.316527084160239,-0.525502527058746,0.715283642849391,0.299786535319944,0.299786535319944,0.100176703961268,1.24422016816587e-05,3017,71,6,61,2926,w_long,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,45.3980331420898,0.00434613227844238,0.917970308930462,0.917970325257415,50,0,TRUE,0.189027835648836,-1.04683339966752,1.4248890709652,0.265752452623342
M2a_wingcol_cc,M1 + wing-column protocol proxy,scaled_yr,-0.318568036391193,0.188072846430073,-0.687190815394136,0.05005474261175,-1.69385449541563,-1.69385449541563,0.0353711948354168,1.96793032309669e-07,8282,72,42,126,,w_cc,Sex + scaled_yr + scaled_lat + wing_col,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,15,35,35,58.9632730484009,20.6408710479736,0.943041853432807,0.943041887059123,50,0,TRUE,-0.634607149136543,-1.36892642843356,0.0997121301604767,-0.892188210040387
M2_cc,M2 = M1 + wing_col + scaled_lon + scaled_alt,scaled_yr,-0.31854422519813,0.188571305244812,-0.688143983477962,0.0510555330817013,-1.68925078385909,-1.68925078385909,0.0355589473734915,1.86066902512198e-07,8282,72,42,126,,w_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,15,35,35,65.0119032859802,22.9848392009735,0.942647032646651,0.94264706760722,50,0,TRUE,-0.634559715773428,-1.37082519796229,0.10170576641543,-0.892121523922224
M3a_season_cc,M2 + season,scaled_yr,-0.30008035862121,0.188395908496254,-0.669336339273868,0.0691756220314491,-1.59281781125929,-1.59281781125929,0.0354928227584392,1.91744793952579e-07,8282,72,42,126,,w_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,25,25,25,63.2365686893463,17.6483738422394,0.942871587841859,0.9428716232682,50,0,TRUE,-0.597778556360346,-1.33335921234257,0.137802099621877,-0.84041123855179
M3b_ring_cc,M2 + season + (1|individual)  [= M3 without moult],scaled_yr,-0.280314793394318,0.185692027639548,-0.644271167567833,0.083641580779197,-1.5095682725725,-1.5095682725725,0.0344813382605729,1.87125797924226e-07,8282,72,42,126,7595,w_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,112.915071725845,0.00395488739013672,0.943198712499475,0.943198751508464,50,0,TRUE,-0.558404333064738,-1.28342784653708,0.166619180407603,-0.785055389107554
M3_cc,M3 = M2 + season + moult + (1|individual),scaled_yr,-0.285118422014445,0.18503623406115,-0.647789440774299,0.0775525967454088,-1.54087886332695,-1.54087886332695,0.0342382187893514,1.85417824799285e-07,8282,72,42,126,7595,w_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,118.968923330307,0.00380516052246094,0.943432860733344,0.943432899810641,50,0,TRUE,-0.56797345713212,-1.29043646345525,0.154489549191008,-0.798508530448537
M4_cc,M4 = M3 with (1 + scaled_yr || contributor),scaled_yr,-0.817925092134732,0.428714404840986,-1.65820532562306,0.0223551413536002,-1.90785539953599,-1.90785539953599,0.183795913082503,1.2532907575465e-07,8282,72,42,126,7595,w_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 + scaled_yr || src) + (1 | site) + (1 | ind),50,50,50,0,0,134.854063749313,0.00426483154296875,0.94679620123272,0.946796239881719,50,0,TRUE,-1.62935715964132,-3.30324713771497,0.0445328184323293,-2.29069787466907
M5_cc,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_site_mean,-0.25679251037831,,,,,,,4.07743383936162e-05,8282,72,42,126,7595,w_cc,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,49,38,12,11,195.584514856339,28.1801109313965,0.946672393692665,0.946672897021188,50,0,TRUE,-0.51154649655649,,,-0.719178398377871
M5_cc,"M5 = M3 with Mundlak year within/between municipality, latitude within/among species (REWB: species slope on yr_within_site)",yr_within_site,-0.344759868609544,,,,,,,1.66861635976496e-05,8282,72,42,126,7595,w_cc,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_site || spp) + (1 | src) + (1 | site) + (1 | ind),50,49,38,12,11,195.584514856339,28.1801109313965,0.946672393692665,0.946672897021188,50,0,TRUE,-0.686782892073727,,,-0.965541595299268
M5_rsTotal_cc,M5 with the species random slope on total scaled_yr,yr_site_mean,-0.242917334237389,0.292021002232278,-0.815278498612654,0.329443830137877,-0.831848847789955,-0.831848847789955,0.085276065102281,1.96708297297221e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,149.07142496109,0.00415587425231934,0.943326354518008,0.943326396949306,50,0,TRUE,-0.483906291109938,-1.62408498234131,0.656272400121438,-0.680319294038973
M5_rsTotal_cc,M5 with the species random slope on total scaled_yr,yr_within_site,-0.29292821949678,0.190344645157485,-0.666003724005451,0.0801472850118913,-1.53893596142103,-1.53893596142103,0.0362308743846001,2.05446596952154e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_site + yr_site_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,149.07142496109,0.00415587425231934,0.943326354518008,0.943326396949306,50,0,TRUE,-0.583531054723337,-1.32672043747169,0.159658328025016,-0.820380810277596
M5src_cc,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_src_mean,-1.2058390609807,0.597753652694376,-2.37743622026168,-0.0342419016997266,-2.01728430356783,-2.01728430356783,0.357309317403081,1.09712144147364e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,146.162262916565,0.00447893142700195,0.942709892390783,0.942709933073299,50,0,TRUE,-2.40210567725245,-4.73599937735603,-0.0682119771488727,-3.3770977327181
M5src_cc,M3 with Mundlak year within/between CONTRIBUTOR (REWB: species slope on yr_within_src),yr_within_src,0.0254804461764376,0.307861571239514,-0.577928233453011,0.628889125805886,0.082765920000499,0.082765920000499,0.0947785698684347,1.73703556743968e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,146.162262916565,0.00447893142700195,0.942709892390783,0.942709933073299,50,0,TRUE,0.0507586181273371,-1.15126863571073,1.2527858719654,0.0713610628445797
M5src_rsTotal_cc,M5src with the species random slope on total scaled_yr,yr_src_mean,-0.989776768919174,0.651944658075721,-2.26758829874759,0.28803476090924,-1.51819139348514,-1.51819139348514,0.425031628007745,2.0508404359636e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,158.572928905487,0.00450396537780762,0.943882137238861,0.943882180120518,50,0,TRUE,-1.97169628416224,-4.51717555215271,0.57378298382823,-2.77198922341717
M5src_rsTotal_cc,M5src with the species random slope on total scaled_yr,yr_within_src,-0.261509738914914,0.185445830503398,-0.624983566701574,0.101964088871745,-1.41016780051101,-1.41016780051101,0.0343899664249395,1.85907995465513e-07,8282,72,42,126,7595,w_cc,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,158.572928905487,0.00450396537780762,0.943882137238861,0.943882180120518,50,0,TRUE,-0.520943506336103,-1.24500575768574,0.20311874501353,-0.73238956586379
M7_cc,M7 = M3 on first (wing) captures only; no ring term (one record per individual),scaled_yr,-0.296072312802829,0.184952502082419,-0.658579216884371,0.0664345912787125,-1.60080187869474,-1.60080187869474,0.0342072654765001,1.59362791314294e-07,7595,72,42,126,,w_first_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,46,4,4,56.5275988578796,3.22277998924255,0.945148541688315,0.945150283972778,50,0,TRUE,-0.589794282234088,-1.31193036201017,0.132341797541998,-0.829186222806427
M3_longrun_cc,"M3 on the 6 long-running contributors (>= 8 yr, >= 200 wing records)",scaled_yr,-0.0219786469371598,0.175923162449345,-0.366788045337877,0.322830751463557,-0.124933218748203,-0.124933218748203,0.0309477712627979,1.16453272629756e-06,2897,71,6,57,2806,w_long_cc,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,50.5779538154602,0.00425982475280762,0.933583543176183,0.933583575591539,50,0,TRUE,-0.0437828183664417,-0.730664376834732,0.643098740101848,-0.0615538517049927
M_carrano,M3 without contributor term on E. Carrano's records alone (1996-2017) [ring term dropped: no repeated individuals] [wing_col dropped: single level],scaled_yr,-0.0297849406156897,,,,,,,0.000140298344554789,1040,41,1,5,,w_carrano,Sex + scaled_yr + scaled_lat + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | site),50,50,48,2,2,6.8115119934082,0.21523380279541,0.937075099459415,0.947296178249726,50,0,TRUE,-0.0593334361646794,,,-0.083416318708885
M1_noanom,M1 without the flagged anomalous blocks,scaled_yr,-0.498253857523598,0.196659162360613,-0.8837058157504,-0.112801899296797,-2.53359086626207,-2.53359086626207,0.0386741979071288,6.15914950213733e-07,8285,72,42,130,,w_noanom,Sex + scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,50,0,0,40.654069185257,0.00405311584472656,0.961136359659979,0.961136397390178,50,0,TRUE,-0.992552371704538,-1.76039641252674,-0.224708330882334,-1.39542002495134
M3_noanom,M3 without the flagged anomalous blocks,scaled_yr,-0.432022528646746,0.19561065028392,-0.815419403203229,-0.0486256540902637,-2.20858387833017,-2.20858387833017,0.0382629716573713,5.4396777121374e-07,8285,72,42,130,7603,w_noanom,Sex + scaled_yr + scaled_lat + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,139.122969150543,0.00449299812316895,0.960918613872884,0.960918650583673,50,0,TRUE,-0.860615485386003,-1.62436567296407,-0.0968652978079349,-1.20993119993101
M5src_noanom,"M5src (within/between contributor, REWB) without the flagged anomalous blocks",yr_src_mean,-1.20116303239176,0.428386807264039,-2.04080117462928,-0.361524890154245,-2.80392162415827,-2.80392162415827,0.183515154435858,1.00198057383139e-07,8285,72,42,130,7603,w_noanom,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,166.422163963318,0.00555992126464844,0.95551076185967,0.95551080084858,50,0,TRUE,-2.3927907403061,-4.06540163306164,-0.720179847550551,-3.36400195065495
M5src_noanom,"M5src (within/between contributor, REWB) without the flagged anomalous blocks",yr_within_src,-0.415734169875152,0.296385807576882,-0.996650352725839,0.165182012975536,-1.40267907317833,-1.40267907317833,0.0878440232960093,5.13369598965398e-07,8285,72,42,130,7603,w_noanom,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + yr_within_src || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,166.422163963318,0.00555992126464844,0.95551076185967,0.95551080084858,50,0,TRUE,-0.828168071510928,-1.98538888645001,0.329052743428149,-1.16431368656856
M5src_rsTotal_noanom,M5src_rsTotal without the flagged anomalous blocks,yr_src_mean,-1.18937482885684,0.406226103998966,-1.98557799269482,-0.393171665018871,-2.92786410609367,-2.92786410609367,0.165018549275526,1.07675946315171e-06,8285,72,42,130,7603,w_noanom,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,175.053638935089,0.00473999977111816,0.961840946083271,0.96184098619874,50,0,TRUE,-2.36930791282761,-3.9553936534455,-0.783222172209716,-3.33098766481965
M5src_rsTotal_noanom,M5src_rsTotal without the flagged anomalous blocks,yr_within_src,-0.378582045290479,0.195985434170329,-0.762713496264325,0.0055494056833667,-1.93168460142531,-1.93168460142531,0.0384097925008864,4.88143182470603e-07,8285,72,42,130,7603,w_noanom,Sex + yr_within_src + yr_src_mean + lat_within_spp + lat_spp_mean + wing_col + scaled_lon + scaled_alt + season + molt3,(1 + scaled_yr || spp) + (1 | src) + (1 | site) + (1 | ind),50,50,50,0,0,175.053638935089,0.00473999977111816,0.961840946083271,0.96184098619874,50,0,TRUE,-0.754158751134251,-1.51937226017836,0.011054757909858,-1.06026468056065
M6_m0,"unknown-sex records, M0 structure (no Sex)",scaled_yr,-0.0361262566591783,0.30224975536289,-0.628535777170443,0.556283263852086,-0.119524519104421,-0.119524519104421,0.0913445964460313,1.01158538191668e-05,3532,56,41,122,,u_all,scaled_yr + scaled_lat,(1 + scaled_yr || spp),50,50,50,0,0,9.86414313316345,0.00389003753662109,0.913433965085464,0.913434018524247,50,0,TRUE,-0.0719657282857585,-1.25208197972081,1.10815052314929,-0.101175939147368
M6_m1,"unknown-sex records, M1 structure (no Sex)",scaled_yr,-0.747813235281621,0.262862675067123,-1.26302407841318,-0.23260239215006,-2.84488178129765,-2.84488178129765,0.069095561445213,1.20048846169058e-06,3532,56,41,122,,u_all,scaled_yr + scaled_lat,(1 + scaled_yr || spp) + (1 | src) + (1 | site),50,50,50,0,0,16.3603150844574,0.00895500183105469,0.927427359345136,0.927427404234426,50,0,TRUE,-1.48969002259187,-2.51602175401034,-0.463358291173404,-2.09434116300082
